resort,country,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Dachstein West,Austria,47,225,23715,1,127,3.9,19,202,129,22,5,625.94,5,243
Fugen / Fugenberg,Austria,47,225,2166,1,127,4.26,21,82,388,14,254,441.42,11,178
Kimberley,Canada,47,225,479,1,127,4.3,21,82,332,15,242,478.94,10,197
Mont Sainte Anne,France,47,225,16339,1,127,3.63,18,239,365,14,254,361,14,61
Grand Targhee,USA,47,225,32906,1,127,4.2,21,82,379,14,254,462.98,11,178
Loon,USA,47,225,39230,1,127,3.7,18,239,403,13,266,359.73,15,24
Sierra-at-Tahoe,USA,47,225,40379,1,127,4.4,22,31,474,10,280,375,14,61
Arinsal,Andorra,46,233,49733,1,127,4.6,23,4,168,21,34,723,1,264
Bad Gastein,Austria,46,233,146407,2,81,4.4,22,31,188,20,100,713,2,251
Bad Hofgastein,Austria,46,233,47122,1,127,4.7,23,4,195,20,100,713,2,251
Revelstoke,Canada,46,233,362907,4,40,3.4,17,274,450,11,277,375.41,14,61
Sun Peaks,Canada,46,233,116287,2,81,3.9,19,202,413,12,270,401.59,13,141
Flaine,France,46,233,84641,1,127,3.8,19,202,269,18,186,552,8,229
Davos,Switzerland,46,233,470087,5,29,4.2,21,82,302,16,229,651,4,248
Lenzerheide,Switzerland,46,233,157798,2,81,3.56,17,274,264,18,186,505,9,216
Crested Butte,USA,46,233,398428,4,40,4.1,20,135,336,15,242,566.16,7,236
Mount Snow,USA,46,233,87964,1,127,4.3,21,82,426,12,270,416,12,166
Mt Bachelor,USA,46,233,155048,2,81,3.5,17,274,331,15,242,416,12,166
Snowbird,USA,46,233,361373,4,40,3.6,18,239,474,10,280,375,14,61
Axamer Lizum,Austria,45,245,29254,1,127,4.5,22,31,150,21,34,723,1,264
Borovets,Bulgaria,45,245,88013,1,127,4.2,21,82,133,22,5,723,1,264
Mont Tremblant,Canada,45,245,332527,4,40,3.63,18,239,516,9,289,361,14,61
Sunshine Village,Canada,45,245,136233,2,81,4.1,20,135,474,10,280,401.59,13,141
Avoriaz,France,45,245,288189,3,60,4.5,22,31,233,19,161,723,1,264
Chamrousse,France,45,245,86108,1,127,4,20,135,138,22,5,713,2,251
Les Diablerets,France,45,245,38164,1,127,3.6,18,239,274,17,210,510,9,216
Bormio,Italy,45,245,376896,4,40,3.96,19,202,179,21,34,723,1,264
Canazei,Italy,45,245,183871,2,81,4.6,23,4,226,19,161,723,1,264
Kandersteg,Switzerland,45,245,129002,2,81,3.8,19,202,190,20,100,645,4,248
Okemo Mountain,USA,45,245,15732,1,127,3.63,18,239,420,12,270,375,14,61
Squaw Valley,USA,45,245,177241,2,81,2.5,12,295,307,16,229,352,15,24
Bad Kleinkirchheim,Austria,44,257,47568,1,127,4.4,22,31,191,20,100,723,1,264
Auris en Oisans,France,44,257,5102,1,127,4.23,21,82,155,21,34,723,1,264
Chatel,France,44,257,121710,2,81,4,20,135,168,21,34,723,1,264
La Rosiere,Frane,44,257,61217,1,127,3.8,19,202,202,20,100,657,4,248
Bardonecchia,Italy,44,257,149381,2,81,3.9,19,202,155,21,34,713,2,251
Bohinj,Slovenia,44,257,173319,2,81,3.9,19,202,121,22,5,723,1,264
Baqueira Beret,Spain,44,257,113312,2,81,3.9,19,202,175,21,34,713,2,251
Arosa,Switzerland,44,257,250937,3,60,4.63,23,4,301,16,229,713,2,251
Laax,Switzerland,44,257,193544,2,81,3.7,18,239,393,13,266,452,11,178
Zinal,Switzerland,44,257,38612,1,127,4,20,135,264,18,186,632,5,243
Snowmass,USA,44,257,244240,3,60,4.6,23,4,660,4,291,375.41,14,61
Stratton Mountain,USA,44,257,46955,1,127,3.7,18,239,436,12,270,402,13,141
Auffach,Austria,43,269,4620,1,127,4.36,21,82,190,20,100,723,1,264
Brand & Burserberg,Austria,43,269,5146,1,127,4,20,135,154,21,34,723,1,264
Ellmau,Austria,43,269,96241,1,127,3.5,17,274,202,20,100,632,5,243
Kicking Horse,Canada,43,269,65422,1,127,4.4,22,31,474,10,280,478.94,10,197
Cauterets,France,43,269,105032,2,81,3.86,19,202,157,21,34,723,1,264
Cervinia,France,43,269,300761,4,40,3.7,18,239,201,20,100,723,1,264
Champoluc,Italy,43,269,94213,1,127,4,20,135,181,20,100,713,2,251
Beitostolen,Norway,43,269,101061,2,81,3.6,18,239,123,22,5,723,1,264
Interlaken (?),Finland,42,277,935041,10,16,4.36,21,82,474,10,280,723,1,264
Brides les Bains,France,42,277,7117,1,127,4,20,135,182,20,100,723,1,264
Bareges,France,41,279,15293,1,127,3.96,19,202,192,20,100,723,1,264
Claviere,France,41,279,31489,1,127,3.73,18,239,171,21,34,723,1,264
Ax les Thermes,France,40,281,24127,1,127,3.43,17,274,150,21,34,723,1,264
Campitello,Italy,40,281,19196,1,127,3.8,19,202,226,19,161,723,1,264
Champery,Switzerland,40,281,43320,1,127,4.06,20,135,273,17,210,713,2,251
Flims,Switzerland,40,281,176835,2,81,3.7,18,239,420,12,270,552,8,229
Big White,Canada,39,285,166192,2,81,3.9,19,202,316,16,229,713,2,251
Bromont,Canada,39,285,87743,1,127,4.2,21,82,322,16,229,723,1,264
Crystal Mountain Michigan,USA,39,285,113570,2,81,3.7,18,239,379,14,254,626,5,243
Argentiere,France,38,288,34300,1,127,3.5,17,274,258,18,186,713,2,251
Beaver Creek,USA,38,288,343629,4,40,3.63,18,239,350,15,242,723,1,264
Deer Valley,USA,34,290,214683,3,60,4.5,22,31,640,4,291,632,5,243
Breckenridge,USA,32,291,976806,10,16,4.1,20,135,749,1,295,723,1,264
Copper Mountain,USA,30,292,179521,2,81,3.5,17,274,474,10,280,723,1,264
Buttermilk,USA,28,293,384285,4,40,4.1,20,135,687,3,293,723,1,264
Aspen,USA,27,294,153727,2,81,3.86,19,202,635,5,290,723,1,264
Aspen Highlands,USA,25,295,26326,1,127,4,20,135,687,3,293,723,1,264
